"ID","Treatment","AUC"
"OP20_1","OP_turnover",9.85300219293161
"OP20_3","OP_turnover",12.231404196019
"OP20_5","OP_turnover",11.4343135834661
"OP20_7","OP_turnover",2.65556917404994
"OP20_9","OP_turnover",11.1625668449198
"OP20_2","OP20",15.6747478206725
"OP20_4","OP20",20.8240958298524
"OP20_6","OP20",26.1739874043322
"OP20_8","OP20",23.6831084074117
"OP20_10","OP20",21.4268733850129
"OPd_1","OPdeltaT_turnover",3.87336782458734
"OPd_3","OPdeltaT_turnover",1.8705926737252
"OPd_5","OPdeltaT_turnover",3.6937106918239
"OPd_7","OPdeltaT_turnover",1.8232889702969
"OPd_9","OPdeltaT_turnover",2.04824456006438
"OPd_2","OPdeltaT",3.83681372803941
"OPd_4","OPdeltaT",9.16332050221564
"OPd_6","OPdeltaT",7.1478629521252
"OPd_8","OPdeltaT",2.71146507157145
"OPd_10","OPdeltaT",9.52123124674271
